enterprise_id,treatment_285,ent_running,Gender,BlockCode,_weight,age_entrepreneur,CIBILscore,NumberofHouseholdmembers,HighestEducation,Religion,Community,MaritalStatus,OwnRentedHouse,TypeofDwelling,CAPBeneficiary,Typeofownership,Existingbusiness,Category_of_enterprise,Vehicle,Water,Equipmentavailability,Skilledlaboravailability,ECP_Score,HouseholdIncome
e_1079,0,1,Male,B117,4,32,750 to 900,1,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,ORANGE,35432,Available,No,Yes,55,400000
e_108,0,1,Female,B014,,34,650 to 750,3,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,New,GREEN,30000,Available,No,Yes,55,360000
e_1080,0,0,Male,B120,2,26,650 to 750,3,Post Graduate,Hindu,BC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,140000,Available,No,Yes,55,37000
e_1081,0,0,Male,B026,1,26,650 to 750,2,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,150000,Available,No,Yes,40,15000
e_1082,0,0,Male,B056,,29,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,50,383000
e_1083,0,0,Female,B092,2,44,650 to 750,1,Primary - 1st to 5th Standard,Hindu,BC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,WHITE,0,Available,No,Yes,50,30000
e_1084,0,1,Female,B057,2,37,750 to 900,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,New,GREEN,0,Available,No,Yes,60,40000
e_1086,0,1,Female,B113,1,31,650 to 750,3,Secondary - 8th to 10th Standard,Muslim,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,GREEN,80000,Available,Yes,Yes,50,580000
e_1087,0,1,Female,B120,1,26,650 to 750,2,Senior Secondary - 11th to 12th  ,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,ORANGE,45000,Available,No,Yes,50,130000
e_1088,0,0,Female,B086,4,30,550 to 650,2,Graduate,Hindu,MBC/DNC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,45,179000
e_1089,0,0,Female,B082,1,34,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,WHITE,90000,Available,No,Yes,45,40000
e_109,0,0,Female,B098,,28,-1 to 0,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,ORANGE,50000,Available,No,Yes,55,200000
e_1090,0,0,Female,B113,2,45,750 to 900,3,Secondary - 8th to 10th Standard,Christian,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,60000,Available,No,Yes,60,250000
e_1092,0,1,Female,B105,5,38,750 to 900,3,Graduate,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,225000,Available,No,Yes,40,1200000
e_1093,0,1,Female,B078,2,34,750 to 900,1,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,Existing,WHITE,60000,Available,No,Yes,45,95000
e_1094,0,0,Male,B085,2,45,650 to 750,1,Diploma,Christian,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,20000,Available,No,Yes,50,60000
e_1095,0,0,Male,B058,,38,650 to 750,2,Senior Secondary - 11th to 12th  ,Hindu,BC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,ORANGE,100000,Available,No,Yes,60,10000
e_1096,0,1,Female,B077,1,44,750 to 900,1,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,No,Society,Existing,WHITE,180000,Available,No,Yes,60,125000
e_1098,0,0,Female,B022,,28,750 to 900,1,Graduate,Hindu,MBC/DNC,Unmarried,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,50,82000
e_1099,0,1,Male,B083,,32,-1 to 0,1,Graduate,Christian,BC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,WHITE,20000,Available,No,Yes,50,265000
e_11,0,0,Male,B052,,39,550 to 650,1,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Kutcha House,No,Company,New,GREEN,60000,Available,Yes,Yes,55,170000
e_110,0,0,Female,B038,,35,-1 to 0,1,Middle-   6th to 7th Standard,Hindu,ST,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,New,GREEN,0,Available,No,Yes,55,275000
e_1100,0,1,Female,B035,,28,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,ST,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,60000,Available,No,Yes,40,220000
e_1101,0,1,Female,B032,2,39,650 to 750,3,Graduate,Hindu,SC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,800000,Available,Yes,Yes,55,104000
e_1103,0,0,Female,B056,3,33,650 to 750,1,Graduate,Hindu,SC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,WHITE,50000,Available,No,Yes,45,110000
e_1106,0,0,Male,B064,,26,650 to 750,2,Graduate,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,0,Available,Yes,Yes,55,100000
e_1109,0,0,Female,B059,,27,650 to 750,1,Graduate,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,100000,Available,No,Yes,50,120000
e_111,0,0,Female,B089,,35,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,GREEN,150000,Available,No,Yes,55,15000
e_1110,0,1,Female,B052,,43,750 to 900,1,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,New,GREEN,60000,Available,Yes,Yes,50,150000
e_1111,0,1,Female,B035,1,41,650 to 750,1,Diploma,Hindu,BC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,GREEN,125000,Available,No,Yes,60,35000
e_1113,0,0,Female,B039,1,39,650 to 750,4,Senior Secondary - 11th to 12th  ,Hindu,BC,Married,Own,Kutcha House,No,Company,Existing,WHITE,120000,Available,No,Yes,50,18000
e_1114,0,1,Female,B062,,33,750 to 900,3,Senior Secondary - 11th to 12th  ,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,60000,Available,No,Yes,55,75000
e_1116,0,1,Male,B032,1,39,650 to 750,1,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,New,ORANGE,90000,Available,Yes,Yes,55,135000
e_1117,0,0,Female,B050,1,43,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,100000,Available,No,Yes,40,20000
e_1118,0,1,Female,B021,,24,650 to 750,2,Graduate,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,ORANGE,50000,Available,No,Yes,55,384000
e_112,0,1,Female,B087,,24,-1 to 0,2,Senior Secondary - 11th to 12th  ,Hindu,SC,Unmarried,Own,Kutcha House,Yes,Individual/Sole Proprietary,New,ORANGE,30000,Available,No,Yes,60,260000
e_1121,0,1,Female,B034,1,34,750 to 900,3,Middle-   6th to 7th Standard,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,400000,Available,No,Yes,50,207000
e_1122,0,0,Female,B045,1,44,750 to 900,3,Secondary - 8th to 10th Standard,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,100000,Available,No,Yes,55,372000
e_1123,0,1,Male,B117,1,36,650 to 750,1,Diploma,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,55432,Available,No,Yes,55,500000
e_1125,0,0,Male,B118,2,37,650 to 750,2,ITI,Hindu,BC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,Existing,WHITE,550000,Available,No,Yes,55,33000
e_1126,0,1,Female,B062,1,41,650 to 750,3,Secondary - 8th to 10th Standard,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,50000,Available,Yes,Yes,55,17000
e_1127,0,1,Male,B103,,38,650 to 750,1,Graduate,Hindu,MBC/DNC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,WHITE,40000,Available,No,Yes,50,64000
e_1128,0,1,Male,B085,2,38,650 to 750,1,Middle-   6th to 7th Standard,Christian,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,WHITE,50000,Available,No,Yes,50,180000
e_1129,0,1,Female,B098,1,43,750 to 900,2,Primary - 1st to 5th Standard,Hindu,BC,Married,Own,Pucca House,Yes,Individual/Sole Proprietary,New,ORANGE,500000,Available,No,Yes,50,132000
e_113,0,1,Male,B018,,25,-1 to 0,1,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Kutcha House,No,Individual/Sole Proprietary,Existing,WHITE,800000,Available,No,Yes,50,20000
e_1130,0,1,Female,B052,5,44,650 to 750,2,Senior Secondary - 11th to 12th  ,Hindu,SC,Married,Own,Pucca House,No,Individual/Sole Proprietary,New,GREEN,120000,Available,Yes,Yes,55,315000
e_1133,0,1,Female,B104,3,24,750 to 900,1,Senior Secondary - 11th to 12th  ,Hindu,MBC/DNC,Married,Own,Kutcha House,Yes,Partnership,Existing,GREEN,75000,Available,No,Yes,55,180000
e_1134,0,1,Male,B037,4,37,650 to 750,1,Secondary - 8th to 10th Standard,Hindu,SC,Married,Own,Kutcha House,Yes,Individual/Sole Proprietary,Existing,WHITE,85000,Available,No,Yes,40,100000
e_1135,0,1,Female,B057,1,44,750 to 900,2,Primary - 1st to 5th Standard,Hindu,BC,Married,Own,Pucca House,No,Individual/Sole Proprietary,Existing,GREEN,80000,Available,No,Yes,55,60000
