"id","personid","pred_inS","pred_inS_alt","pred_inS_drop"
"e_1189","e_1189","0.475012227885128","0.473976538659744","0.475012227885128"
"e_1193","e_1193","0.489859024926069","0.487023167973571","0.489859024926069"
"e_1195","e_1195","0.329761613857992","0.329627429647168","0.329761613857992"
"e_1197","e_1197","0.311515721966709","0.309176678915927","0.311515721966709"
"e_12","e_12","0.465282525157883","0.460311999256071","0.465282525157883"
"e_1200","e_1200","0.351253215000695","0.350120126536289","0.351253215000695"
"e_1203","e_1203","0.336122167165444","0.338860809529913","0.336122167165444"
"e_1205","e_1205","0.416165901884945","0.414451347608539","0.416165901884945"
"e_1206","e_1206","0.360452072184796","0.362263827345278","0.360452072184796"
"e_1208","e_1208","0.301660087161036","0.296838739528218","0.301660087161036"
"e_1211","e_1211","0.333582524704496","0.333416948084149","0.333582524704496"
"e_1213","e_1213","0.427305305351915","0.428853157171067","0.427305305351915"
"e_1218","e_1218","0.451613913055791","0.452511360715228","0.451613913055791"
"e_1227","e_1227","0.302865748754471","0.303180667546726","0.302865748754471"
"e_1228","e_1228","0.426943898355382","0.42503457181357","0.426943898355382"
"e_123","e_123","0.429192372472829","0.426660223500376","0.429192372472829"
"e_1233","e_1233","0.352058142133186","0.349006202153245","0.352058142133186"
"e_1236","e_1236","0.454129127181393","0.454479718197375","0.454129127181393"
"e_1237","e_1237","0.43482225800283","0.431998750176922","0.43482225800283"
"e_1239","e_1239","0.454102201689312","0.452640323174986","0.454102201689312"
"e_1241","e_1241","0.427845551724789","0.427082387943934","0.427845551724789"
"e_1242","e_1242","0.318383793567124","0.323878567489004","0.318383793567124"
"e_1246","e_1246","0.428023536558754","0.426080702817377","0.428023536558754"
"e_1249","e_1249","0.436247509504706","0.43694896980666","0.436247509504706"
"e_1250","e_1250","0.344143967075502","0.34437629316167","0.344143967075502"
"e_1251","e_1251","0.438771078747803","0.435904711994321","0.438771078747803"
"e_1252","e_1252","0.440178534899169","0.439966034283104","0.440178534899169"
